user_id,destination_id,rating,visited_season
68,15,3,winter
95,32,3,winter
84,33,4,monsoon
103,4,4,monsoon
30,13,3,any
63,24,4,winter
61,18,3,summer
9,38,2,summer
42,16,2,summer
1,30,2,winter
62,17,3,summer
86,31,3,monsoon
90,33,3,winter
114,35,4,summer
39,5,3,any
9,32,4,any
34,24,5,summer
9,37,5,winter
18,33,3,monsoon
113,7,4,monsoon
29,31,5,winter
20,0,2,any
87,28,2,any
44,24,4,monsoon
15,21,4,any
15,12,4,winter
115,18,3,any
111,37,3,winter
46,27,3,monsoon
13,3,1,monsoon
81,9,3,monsoon
24,23,4,any
113,1,3,summer
92,5,3,winter
119,26,2,monsoon
62,3,3,summer
21,30,2,monsoon
94,16,3,any
83,15,3,any
15,10,4,summer
9,13,2,summer
57,21,3,any
54,8,2,summer
43,35,3,winter
40,15,2,summer
95,26,4,any
52,33,3,winter
63,17,4,monsoon
16,32,2,summer
11,17,3,summer
49,25,2,monsoon
108,1,2,summer
4,27,3,any
75,31,1,winter
9,25,5,any
57,15,2,winter
28,9,4,winter
105,29,5,winter
70,2,3,winter
82,19,3,summer
80,16,2,winter
12,4,4,monsoon
67,37,3,winter
1,34,4,monsoon
58,17,4,summer
60,33,3,summer
70,15,4,monsoon
7,1,3,summer
63,26,4,any
118,23,3,summer
63,2,3,monsoon
87,25,2,summer
0,18,3,summer
63,12,2,monsoon
98,12,3,monsoon
13,39,4,any
78,11,4,winter
76,9,2,any
6,13,4,any
6,3,3,summer
50,28,4,winter
10,10,2,monsoon
24,11,2,any
4,19,2,any
107,23,5,winter
0,5,3,monsoon
10,22,2,summer
48,22,4,monsoon
105,27,4,summer
47,34,4,any
24,20,2,winter
80,26,4,summer
103,25,3,winter
102,3,4,monsoon
24,4,4,monsoon
42,39,3,winter
33,20,4,winter
3,14,3,winter
60,29,4,monsoon
116,27,3,any
16,31,4,monsoon
105,9,4,summer
41,20,2,winter
65,12,3,any
96,10,3,winter
61,35,3,monsoon
20,27,5,monsoon
79,5,1,summer
12,26,2,any
22,14,3,summer
53,29,2,winter
99,18,2,monsoon
35,36,3,monsoon
25,28,4,summer
23,15,3,summer
41,4,4,any
32,15,4,winter
83,29,3,winter
13,0,2,any
117,23,5,winter
112,18,3,summer
119,4,3,monsoon
65,11,4,winter
13,38,3,monsoon
27,2,3,summer
32,2,3,summer
104,0,3,monsoon
23,39,2,monsoon
4,31,3,winter
101,25,3,summer
81,34,3,monsoon
52,18,3,monsoon
53,3,3,monsoon
53,26,4,winter
110,23,4,any
26,0,2,any
115,10,2,any
73,23,4,any
98,10,3,summer
82,25,3,winter
73,39,4,summer
18,22,2,monsoon
20,33,3,any
62,12,3,monsoon
16,2,4,winter
77,24,3,winter
115,39,4,summer
79,25,1,summer
106,30,3,any
66,10,4,any
45,7,4,summer
5,35,5,winter
85,20,5,monsoon
83,26,4,monsoon
74,15,2,any
64,28,4,summer
2,0,4,summer
57,39,4,any
107,11,5,winter
16,22,2,any
46,5,3,winter
5,8,2,winter
118,20,3,winter
96,32,3,any
83,8,3,winter
24,8,3,any
36,10,3,summer
8,22,2,monsoon
20,20,4,any
18,16,3,any
26,37,3,monsoon
